,rating,genre,director,writer,theater_date,currency,box_office,runtime
443,R,Drama|Mystery and Suspense,Anton Corbijn,Andrew Bovell,2014,$,14037964,121 minutes
450,PG-13,Drama|Romance,Justin Chadwick,Peter Morgan,2008,$,26800000,115 minutes
454,G,Documentary|Special Interest,Adam Ravetch|Sarah Robertson,Linda Woolverton|Mose Richards|Kristin Gore,2007,$,598103,86 minutes
466,PG-13,Action and Adventure|Mystery and Suspense|Romance,Florian Henckel von Donnersmarck,Florian Henckel von Donnersmarck|Christopher McQuarrie|Julian Fellowes,2010,$,67631157,103 minutes
467,R,Drama|Mystery and Suspense,Clint Eastwood,Brian Helgeland,2003,$,88800000,137 minutes
477,R,Art House and International|Drama|Mystery and Suspense,Guy Maddin,Guy Maddin|George Toles,2012,$,22099,93 minutes
479,R,Horror|Mystery and Suspense|Science Fiction and Fantasy,James Isaac,Todd Farmer,2002,$,12610731,91 minutes
492,PG-13,Comedy,Dave McCary,Kevin Costello,2017,$,529426,97 minutes
495,PG-13,Comedy|Drama|Mystery and Suspense,,,2014,$,2664765,108 minutes
504,PG,Comedy|Romance,Joel Zwick,Nia Vardalos,2002,$,241250669,95 minutes
509,PG,Animation|Kids and Family,Clay Kaytis|Fergal Reilly,Jon Vitti,2016,$,107506776,95 minutes
512,PG-13,Drama|Horror,Bill Duke,Brian Bird,2009,$,10572742,100 minutes
513,PG,Drama,Mike Tollin|Michael Tollin,Mike Rich,2003,$,52277485,109 minutes
514,R,Comedy|Mystery and Suspense,William Friedkin,Tracy Letts,2012,$,1800000,102 minutes
523,R,Comedy|Romance,Philip Seymour Hoffman,Bob Glaudini,2010,$,300000,91 minutes
524,PG-13,Horror|Mystery and Suspense|Science Fiction and Fantasy,Stuart Beattie,Stuart Beattie,2014,$,15687400,92 minutes
527,R,Drama|Mystery and Suspense,Paul Thomas Anderson,Paul Thomas Anderson,2015,$,6100613,148 minutes
545,R,Comedy,Seth MacFarlane,Seth MacFarlane|Alec Sulkin|Wellesley Wild,2015,$,63883740,120 minutes
546,R,Drama|Mystery and Suspense,Gary Fleder,Patrick Kelly|Anthony Peckham,2001,$,54218420,110 minutes
568,R,Art House and International|Horror|Mystery and Suspense,Nick Murphy,Nick Murphy|Stephen Volk,2012,$,175088,107 minutes
584,PG-13,Action and Adventure|Science Fiction and Fantasy,Richard Donner,Jeff Maguire|George Nolfi,2003,$,19375474,116 minutes
585,R,Drama,Brad Furman,Ellen Brown Furman,2016,$,15425870,127 minutes
597,PG-13,Comedy,Jason Friedberg|Aaron Seltzer,Aaron Seltzer|Jason Friedberg,2008,$,38200000,84 minutes
599,R,Art House and International|Comedy|Drama,Vincent Gallo,Vincent Gallo|Alison Bagnall,1998,$,2365931,110 minutes
603,R,Art House and International|Comedy|Drama,Goran Dukic,Goran Dukic,2007,$,231512,91 minutes
605,R,Comedy|Drama,Martin McDonagh,Martin McDonagh,2017,$,52000189,115 minutes
606,R,Action and Adventure|Mystery and Suspense,Sylvester Stallone,Dave Callaham|Sylvester Stallone,2010,$,102981571,103 minutes
611,R,Drama,Michael Showalter,Laura Terruso|Michael Showalter,2016,$,14443077,95 minutes
613,R,Art House and International|Comedy|Drama|Mystery and Suspense,,,2009,$,4900000,128 minutes
622,R,Drama,Barry Levinson,Mitch Glazer,2015,$,1940202,100 minutes
624,R,Comedy|Drama,Danny Leiner,Sam Catlin,2006,$,39712,88 minutes
631,PG-13,Comedy|Romance,Stephen Herek,John Scott Shepherd|Dana Stevens,2002,$,14400987,103 minutes
632,R,Drama,Sam Mendes,Justin Haythe,2008,$,22877808,119 minutes
633,PG,Action and Adventure|Animation|Comedy|Kids and Family,Anthony Bell|Ben Gluck|Benjamin Gluck,Steve Moore|Chris Denk,2010,$,25077977,88 minutes
649,PG-13,Action and Adventure|Comedy|Drama,Kyle Newman,,2008,$,700000,90 minutes
657,PG-13,Action and Adventure|Science Fiction and Fantasy,Steven Spielberg,Josh Friedman|David Koepp,2005,$,234141872,117 minutes
659,R,Drama|Mystery and Suspense,Werner Herzog,,2009,$,1616556,121 minutes
660,PG-13,Drama,Tim Disney,Bill Haney,2009,$,465786,113 minutes
662,R,Drama|Horror|Mystery and Suspense,Peter Webber,Thomas Harris,2007,$,27503677,121 minutes
664,R,Drama,Ang Lee,Jean-Christophe Castelli,2016,$,1736708,110 minutes
670,R,Drama,Jed Weintrob,Jed Weintrob|Andrew Osborne,2003,$,25658,93 minutes
674,PG-13,Comedy,Anthony Russo|Joe Russo,,2006,$,75604320,109 minutes
675,R,Action and Adventure|Art House and International|Comedy|Cult Movies|Drama,Harmony Korine,Harmony Korine,2013,$,13900000,93 minutes
676,PG-13,Drama|Mystery and Suspense,,,2009,$,15988876,88 minutes
683,R,Comedy,Robert Pulcini|Shari Springer Berman,Robert Pulcini|Jonathan Ames|Shari Springer Berman,2010,$,453079,108 minutes
690,PG-13,Comedy,Jay Roach,Jim Herzfeld|John Hamburg,2004,$,279167575,118 minutes
691,R,Action and Adventure|Comedy|Drama,Richard Rush,Robert Kaufman,1974,$,8300,114 minutes
692,R,Comedy|Drama|Romance,Charles Shyer,Charles Shyer|Elaine Pope,2004,$,13351235,105 minutes
697,NR,Drama|Horror|Mystery and Suspense,Eric England,Eric England,2013,$,3328,84 minutes
702,G,Documentary|Drama,Jacques Cluzaud|Jacques Perrin,,2010,$,19000000,103 minutes
704,G,Comedy|Documentary|Science Fiction and Fantasy|Special Interest,James Cameron,,2003,$,16302332,59 minutes
706,R,Art House and International|Comedy|Drama|Romance,,,2003,$,3752818,115 minutes
732,PG-13,Action and Adventure|Drama|Mystery and Suspense,Robert Schwentke,,2005,$,89602378,98 minutes
740,R,Drama,Cyrus Nowrasteh,Betsy Giffen Nowrasteh|Cyrus Nowrasteh,2009,$,519730,114 minutes
744,R,Comedy|Drama,Roman Coppola,Roman Coppola,2002,$,301194,91 minutes
747,NR,Documentary|Special Interest,Jonathan Challis|Susan Crook|John Coffey|Ian Lynch,,2012,$,104286,70 minutes
751,R,Comedy|Drama,,,2004,$,12711889,106 minutes
752,R,Art House and International|Comedy|Drama,Francis Veber,Francis Veber,2001,$,4519967,85 minutes
755,R,Action and Adventure|Horror|Science Fiction and Fantasy,Andrzej Bartkowiak,Dave Callaham|Wesley Strick,2005,$,28031250,104 minutes
758,R,Drama,Patty Jenkins,Patty Jenkins,2004,$,34187787,109 minutes
762,R,Comedy,Jesse Dylan,Dustin Lee Abraham,2001,$,31155435,94 minutes
778,R,Action and Adventure|Drama|Mystery and Suspense,Neil Jordan,,2007,$,36800000,122 minutes
781,PG-13,Comedy|Drama|Romance,,,2010,$,30212620,121 minutes
782,R,Horror,Steven Quale,Eric Heisserer,2011,$,42500000,92 minutes
783,R,Drama,,Glenn Close|Gabriella Prekop|John Banville|Gabrialla Prekop,2012,$,3014541,113 minutes
784,PG,Comedy|Drama|Romance,Gary Winick,Jose Rivera|Tim Sullivan,2010,$,53021560,105 minutes
787,PG-13,Drama|Science Fiction and Fantasy|Romance,David Fincher,Eric Roth|Robin Swicord,2008,$,127490802,166 minutes
804,PG-13,Comedy|Drama|Romance,Donald Petrie,Burr Steers|Brian Regan|Kristen Buckley,2003,$,105765605,115 minutes
807,R,Drama,George Hickenlooper,Captain Mauzner,2007,$,1566027,89 minutes
809,R,Drama,,,2010,$,1110286,126 minutes
816,R,Art House and International|Drama,Danis Tanovic,Danis Tanovic,2001,$,948054,98 minutes
827,R,Drama,Mel Gibson,Mel Gibson|Benedict Fitzgerald,2004,$,368000000,127 minutes
832,PG-13,Action and Adventure|Mystery and Suspense|Science Fiction and Fantasy,Steven Spielberg,Michael Crichton|David Koepp|Malia Scotch Marmo,1993,$,45299680,126 minutes
835,PG-13,Drama|Musical and Performing Arts|Romance,Maggie Greenwald,Maggie Greenwald,2001,$,1634064,112 minutes
836,R,Action and Adventure|Art House and International|Classics|Drama|Romance,,,2010,$,600000,126 minutes
838,PG-13,Comedy|Drama|Romance,Michel Hazanavicius,Michel Hazanavicius,2011,$,44667095,100 minutes
839,R,Drama,Gia Coppola,Gia Coppola,2014,$,406235,100 minutes
